CONTRACT_ID,CLIENT_TYPE_ID,AVG_EUROS_IMPORT,POWER_P1,HAS_GAS,HAS_SOLAR,ZIPCODE
6532,0,73.24,2950.00000,0,0,08902
4634,0,105.18,4050.00000,0,1,04740
5348,0,198.44,5250.00000,0,1,08224
7030,1,209.1,7578.00000,0,1,08034
7612,0,27.88,2375.00000,0,0,08901
4611,0,42.77,2950.00000,0,1,29566
5809,0,70.61,4100.00000,0,0,08016
1249,0,73.43,4100.00000,0,0,31011
391,0,194.09,8700.00000,0,1,20240
8223,0,56.55,4100.00000,0,1,08293
3354,0,41.78,5250.00000,0,0,28018
7438,0,60.05,10550.00000,0,1,17252
6581,0,63.55,5250.00000,0,0,08904
8159,0,175.39,5250.00000,0,0,08041
1260,0,42,2950.00000,0,0,31005
4072,0,61.39,3950.00000,0,0,41449
4801,0,87.97,5250.00000,0,0,29639
5255,0,84.94,3950.00000,0,0,08100
1109,0,45.55,2850.00000,0,0,31006
380,1,93.65,2950.00000,0,1,20002
68,0,102.44,3950.00000,0,0,03016
8656,1,52.91,2950.00000,0,0,35600
4203,0,49.96,5050.00000,0,0,11401
2743,0,101.83,3950.00000,0,1,36900
4516,0,72,3950.00000,0,0,29620
6397,0,62.32,4100.00000,0,0,43718
975,0,47.61,4100.00000,0,1,30860
4713,0,130.7,5250.00000,0,1,18193
1054,0,53.41,2950.00000,0,0,31014
524,0,103.4,4650.00000,0,0,28440
445,0,78.14,3050.00000,0,0,26004
6157,0,49.97,2950.00000,0,1,08902
1210,0,69.84,4100.00000,0,0,31002
943,0,111.58,3950.00000,0,0,28850
32,0,49.09,2150.00000,0,0,03802
770,0,406.74,7578.00000,0,1,28023
7573,0,61.39,4450.00000,0,1,08902
3269,0,174.26,4100.00000,0,1,28032
2715,0,50.59,3950.00000,0,1,15008
7890,3,70.22,10650.00000,0,1,43881
7616,0,39.59,4100.00000,0,0,08901
2771,0,32.73,3650.00000,0,0,32372
2561,0,86.31,5350.00000,0,0,03502
4692,0,52.3,1650.00000,0,0,11560
4670,0,108.57,5050.00000,0,0,29640
5788,0,59.02,4100.00000,0,0,08041
5576,0,80.09,4150.00000,0,0,08223
4202,0,110.88,6150.00000,0,1,11401
8785,0,44.89,4100.00000,0,1,38588
957,0,112.47,3950.00000,0,0,28760
3068,0,46.71,3950.00000,0,0,28033
2552,0,92.52,4100.00000,0,1,31400
5499,0,80.26,3950.00000,0,0,08360
152,0,38.05,6400.00000,0,1,03205
7451,1,73.13,7550.00000,0,0,17246
2853,0,72.7,5250.00000,0,1,28300
4642,0,113.73,4250.00000,0,1,23004
1187,0,100.86,4100.00000,0,0,31001
7626,0,56.94,4100.00000,0,0,08901
6930,0,121.27,4100.00000,0,0,08812
1241,0,119.87,5050.00000,0,1,31006
4953,0,49.67,4100.00000,0,1,18007
2136,0,66.9,4100.00000,0,0,28054
1465,0,50.47,3950.00000,0,0,46910
5302,0,82.83,5150.00000,0,0,08223
8414,0,76.82,5250.00000,0,0,17489
8187,0,121.11,5250.00000,0,1,08002
4536,1,107.55,6350.00000,0,1,18690
2839,0,86.84,4100.00000,0,0,28810
6200,0,110.87,4100.00000,0,0,08830
3973,0,32.43,4100.00000,0,0,11380
3923,0,38.46,5250.00000,0,0,41013
544,0,71,4100.00000,0,1,28041
5988,0,54.53,3450.00000,0,1,08012
2421,0,46.66,2950.00000,0,0,28942
4955,0,126.83,4100.00000,0,0,14012
6208,0,100.53,10650.00000,0,1,08970
2031,1,135.46,6400.00000,0,0,28430
8078,0,68.44,6400.00000,0,1,08520
7685,0,121.88,5846.00000,0,1,17134
222,0,37.91,3950.00000,0,0,09400
6626,1,64.63,4100.00000,0,0,17538
3627,0,72.57,5250.00000,0,1,28022
8870,0,79.79,2950.00000,0,0,29461
5921,1,61.46,5050.00000,0,0,08028
882,0,126.25,3850.00000,0,0,28200
627,0,40.34,4100.00000,0,1,28019
7311,1,29.95,1750.00000,0,1,08017
8687,0,117.81,4100.00000,0,0,38208
7739,0,51.16,4100.00000,0,0,08020
1238,1,371.97,10550.00000,0,1,31014
1202,1,51.6,4100.00000,0,0,31008
1525,0,80.06,6400.00000,0,1,46119
1331,0,42.96,2650.00000,0,1,31550
8224,0,82.46,4650.00000,0,1,25730
2309,0,197.06,4100.00000,0,1,28023
5137,0,88.07,4100.00000,0,0,50180
7060,0,89.04,5250.00000,0,0,08020
2204,0,65.99,4100.00000,0,1,46520
2944,0,70.86,3950.00000,0,0,28045
6471,1,67.09,5250.00000,0,0,43480
7280,0,70.12,4050.00000,0,0,08019
8861,1,147.57,11042.00000,0,1,13750
7645,0,97.01,6150.00000,0,0,25221
1291,0,83.95,4100.00000,0,0,31012
1270,0,94.84,3950.00000,0,0,31015
